"Data generated on Wednesday, August 5, 2026 at 10:30:23 PM EST"
Area/Partners of Destination,,,,,January 2015 - December 2015
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1.38","Spain","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","5.0","0","0.0","9","6.1","14","11.1","","","US","SP","0226AT",
"1.39","Costa Rica","1","Soybean Oil","2015-2015","MT","23","6.3","0","0.0","1,568","1,999.8","756","1,001.3","0","0.0","11","3.4","1,233","1,574.8","3","0.3","9","2.5","25","13.9","691","885.1","8","3.0","4,327","5,490.5","-99","-100","US","CS","0226AT",
"1.40","Iceland","1","Soybean Oil","2015-2015","MT","24","10.9","14","6.7","15","6.2","0","0.0","0","0.0","0","0.0","30","13.5","7","3.2","0","0.0","12","5.4","17","7.9","8","3.7","127","57.5","-52","-53","US","IC","0226AT",
"1.41","Equatorial Guinea","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","6","3.3","0","0.0","6","3.2","0","0.0","4","1.9","0","0.0","0","0.0","3","1.5","7","5.0","5","2.5","31","17.5","-24","-51","US","EK","0226AT",
"1.42","Guyana","1","Soybean Oil","2015-2015","MT","55","35.6","9","6.3","35","23.4","24","16.5","13","7.2","24","18.6","14","8.7","11","7.3","10","6.2","4","2.9","11","7.4","4","2.4","213","142.5","-62","-67","US","GY","0226AT",
"1.43","Uruguay","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.4","0","0.0","4","2.2","7","4.6","","","US","UY","0226AT",
"1.44","Italy(*)","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","4.4","4","2.8","4","3.0","12","10.2","-12","6","US","IT","0226AT",
"1.45","Qatar","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","2.5","3","1.8","0","0.0","3","2.5","31","26.0","3","2.5","43","35.4","-90","-90","US","QA","0226AT",
"1.46","South Africa","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.0","3","2.0","","","US","SF","0226AT",
"1.47","Netherlands","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","2.0","3","2.0","","","US","NL","0226AT",
"1.48","Argentina","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","62","0.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","62","0.3","","","US","AR","0226AT",
"1.49","Bahrain","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","20","20.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20","20.2","","","US","BA","0226AT",
"1.50","Barbados","1","Soybean Oil","2015-2015","MT","0","0.0","11","8.8","5","3.3","0","0.0","0","0.0","0","0.0","0","0.0","25","24.1","3","0.5","6","6.9","0","0.0","0","0.0","49","43.5","","","US","BB","0226AT",
"1.51","Belgium-Luxembourg(*)","1","Soybean Oil","2015-2015","MT","0","0.0","26","0.2","0","0.0","4","-","0","0.0","8","0.1","0","0.0","14","0.1","0","0.0","0","0.0","0","0.0","0","0.0","53","0.4","","","US","BE","0226AT",
"1.52","Brazil","1","Soybean Oil","2015-2015","MT","0","0.0","6","0.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","-","28","19.0","0","0.0","0","0.0","0","0.0","41","19.9","","","US","BR","0226AT",
"1.53","Bulgaria","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","22","20.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","22","20.0","","","US","BU","0226AT",
"1.54","Brunei","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","8","3.2","0","0.0","0","0.0","0","0.0","0","0.0","11","4.7","0","0.0","0","0.0","0","0.0","18","7.9","","","US","BX","0226AT",
"1.55","Ecuador","1","Soybean Oil","2015-2015","MT","5","2.2","0","0.0","0","0.0","0","0.0","6","2.7","6","2.9","0","0.0","0","0.0","0","0.0","5","2.2","0","0.0","0","0.0","21","10.0","","","US","EC","0226AT",
